ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
225	367,251	812,602	309,238,216	928,657,493	282	352
226	309,236	449,312	367,272,194	527,429,273	225	248
227	665,396	294,211	647,453,354	294,274,150	298	225
228	345,187	611,367	333,227,174	626,449,329	241	361
229	397,239	145,99	435,332,217	129,123,50	302	212
230	547,365	547,338	547,476,259	510,368,205	356	302
231	211,128	548,337	217,178,93	510,368,205	218	302
232	121,100	346,276	209,144,130	516,390,284	227	272
249	2,0	9,2	1,0,1	2,8,1	280	343
250	1,0	16,11	9,9,6	15,20,22	444	212
251	203,116	383,255	271,217,174	432,368,293	249	280
252	0,0	21,4	0,4,0	8,6,6	247	245
253	0,0	21,4	0,2,0	8,6,6	268	245
254	92,48	250,175	146,106,110	273,269,163	206	249
255	20,21	72,43	26,37,27	80,63,36	181	181
256	186,103	82,67	274,229,215	119,102,67	334	197
257	245,201	206,144	286,222,198	222,216,169	300	326
258	245,201	212,151	286,222,198	229,234,180	300	334
259	217,128	154,79	260,229,168	243,204,184	257	300
260	67,50	154,79	70,65,51	241,205,182	211	300
261	58,25	179,162	57,43,27	223,178,160	176	257
262	67,50	169,149	72,71,53	203,162,147	211	257
263	8,10	3,4	9,7,9	8,8,5	248	249
264	209,178	261,139	281,248,201	338,288,183	233	253
265	982,740	613,534	1274,1305,1046	1038,877,562	305	185
266	2574,1729	1138,885	3550,2858,2208	1595,1393,940	339	238
267	423,249	176,151	400,355,251	212,141,139	361	317
269	1565,1038	949,700	1853,1519,986	1061,967,648	285	235
270	444,349	1451,946	527,435,342	1650,1521,932	235	248
271	739,406	1030,753	912,707,538	1406,1004,705	289	425
272	739,406	1030,753	912,707,538	1406,1004,705	289	425
275	241,132	166,120	236,188,142	184,123,86	368	265
276	184,133	261,151	166,184,121	243,162,129	286	298
277	184,133	228,125	166,184,121	202,132,111	286	283
278	99,81	159,108	92,76,45	171,132,83	298	237
279	141,109	159,108	151,113,58	171,132,83	283	237
280	190,116	1,3	197,158,97	7,0,1	279	260
281	190,116	507,331	197,158,97	534,341,267	279	335
283	38,39	28,28	44,50,30	48,40,21	330	301
284	37,39	28,28	43,49,30	48,40,21	326	301
285	10,5	31,30	5,9,10	35,60,22	275	242
286	167,87	108,62	142,86,61	66,63,46	624	359
288	48,29	6,3	49,64,53	11,19,8	230	236
289	280,213	191,132	415,349,192	292,244,176	266	246
290	246,168	151,76	267,234,161	182,124,89	230	214
291	185,112	138,80	246,154,147	161,136,92	245	241
292	5,5	140,77	6,5,1	147,132,92	245	241
293	136,101	309,232	185,166,130	391,306,216	204	245
295	300,227	119,81	353,274,182	114,112,61	330	244
297	195,131	169,152	299,250,114	269,225,159	319	323
298	66,48	54,58	114,99,65	90,88,50	257	228
299	94,49	86,88	115,113,64	152,146,114	230	248
300	86,56	41,36	138,113,77	71,44,35	332	263
302	2554,2089	118,72	3434,2810,1798	131,130,73	227	284
303	2241,1776	69,45	2898,2311,1554	85,73,51	276	284
304	978,810	69,45	1225,998,666	85,73,50	227	284
305	2967,2113	69,45	3157,2839,1888	85,73,50	310	284
306	2967,2113	978,810	3157,2839,1888	1225,998,666	310	227
307	2158,1566	3571,2408	2647,2259,1539	4128,3689,2326	295	323
308	542,323	2781,2147	684,651,484	3568,3078,2097	294	295
309	355,274	381,288	424,407,232	434,323,227	268	223
310	312,246	382,291	359,310,197	434,322,227	216	223
311	891,732	564,366	1112,764,639	575,474,310	298	208
312	410,317	849,653	439,335,244	1021,840,556	208	297
313	0,0	71,57	0,1,0	139,113,67	244	266
314	231,163	125,97	136,99,61	51,49,35	234	194
315	67,40	28,16	52,68,46	32,31,24	305	188
318	16,17	137,87	26,18,12	130,134,71	180	254
319	104,77	38,44	142,105,71	49,54,20	269	223
320	98,109	160,163	133,132,85	276,227,146	260	307
321	24,13	76,61	21,16,23	75,84,46	239	230
322	24,13	33,26	21,16,23	29,28,24	239	227
323	24,13	48,35	21,16,23	43,57,25	239	230
324	24,13	75,55	21,16,23	75,73,52	239	353
325	29,24	27,19	35,22,24	17,10,15	230	191
326	7938,5142	455,331	5860,4643,3054	347,326,242	5117	1050
328	31,31	11,7	89,65,39	12,9,11	229	247
332	8,8	6,1	13,12,7	1,1,0	191	243
333	8,8	1,0	13,12,7	3,1,2	191	211
334	2,5	6,1	10,3,2	1,1,0	242	243
336	4,1	0,0	1,1,0	0,0,1	243	196
337	4,1	1,0	1,1,0	2,1,2	243	211
338	95,87	131,108	253,148,154	277,235,180	327	251
339	26,21	3,4	46,31,20	16,8,1	275	298
340	265,196	222,145	260,227,164	240,153,160	392	336
341	40,44	14,6	82,123,84	37,33,32	501	256
342	26,11	6,1	24,44,18	9,9,16	209	239
343	41,44	6,1	83,126,84	9,10,14	501	239
344	38,23	18,6	46,27,43	15,18,11	261	326
345	38,23	17,13	46,27,43	22,12,7	261	179
346	15,6	14,6	30,20,14	39,31,32	239	256
347	20,21	14,6	27,34,28	38,31,32	215	256
348	0,1	6,1	2,1,2	9,9,16	178	239
349	36,42	6,1	73,106,67	9,10,14	276	239
350	3,5	6,1	9,6,1	9,10,14	338	239
351	19,21	2,0	27,34,30	1,4,3	215	178
352	19,21	2,0	27,34,30	2,6,6	215	209
353	1,4	17,10	8,9,4	53,40,38	246	247
354	78,61	24,18	116,73,59	21,38,18	260	193
355	41,31	51,60	35,52,22	99,58,41	248	260
356	54,44	69,56	96,62,57	103,71,63	256	248
357	19,17	76,61	31,35,32	67,62,32	326	220
358	1,0	179,98	0,2,0	137,134,76	262	259
359	80,60	125,84	146,103,64	209,171,75	256	272
360	85,56	105,101	77,73,51	135,119,89	209	251
361	2,2	0,1	12,3,3	1,1,2	301	219
362	19,18	20,12	16,17,8	15,12,16	306	304
363	22,8	23,12	43,21,17	16,13,18	335	329
364	74,51	246,204	110,113,91	283,247,173	237	281
365	7,7	204,181	20,15,11	356,263,204	281	236
366	290,259	203,181	561,433,303	357,263,204	281	236
367	0,0	114,82	0,0,1	211,158,89	210	242
368	138,120	15,10	212,187,134	18,13,22	227	278
369	70,72	11,5	96,96,52	39,26,35	241	290
370	10,7	11,5	22,9,13	39,26,35	236	290
371	9,7	0,1	15,7,8	0,0,0	236	290
372	4,0	479,332	4,2,2	464,403,317	306	260
373	28,10	69,44	34,20,17	66,44,32	266	390
374	28,10	122,77	34,20,17	127,79,63	266	358
375	119,49	15,2	107,70,80	15,3,9	266	221
376	291,206	442,316	485,402,372	584,471,384	385	305
377	201,124	701,477	331,285,189	993,792,629	306	385
